bowler,phase,legal_balls,overs,total_overs,phase_usage_probability
JA Duffy,powerplay,315,52.5,94.33333333333333,0.5565371024734983
JA Morkel,death,345,57.5,321.6666666666667,0.17875647668393782
JA Morkel,middle,679,113.16666666666667,321.6666666666667,0.3518134715025907
JA Morkel,powerplay,906,151.0,321.6666666666667,0.46943005181347147
JA Richardson,death,99,16.5,53.16666666666667,0.31034482758620685
JA Richardson,middle,87,14.5,53.16666666666667,0.2727272727272727
JA Richardson,powerplay,133,22.166666666666668,53.16666666666667,0.4169278996865204
JC Archer,death,690,115.0,352.33333333333337,0.3263954588457899
JC Archer,middle,353,58.833333333333336,352.33333333333337,0.16698202459791864
JC Archer,powerplay,1071,178.5,352.33333333333337,0.5066225165562913
JD Ryder,death,40,6.666666666666667,44.666666666666664,0.1492537313432836
JD Ryder,middle,224,37.333333333333336,44.666666666666664,0.8358208955223881
JD Ryder,powerplay,4,0.6666666666666666,44.666666666666664,0.014925373134328358
JD Unadkat,death,623,103.83333333333333,374.3333333333333,0.2773820124666073
JD Unadkat,middle,800,133.33333333333334,374.3333333333333,0.35618878005342836
JD Unadkat,powerplay,823,137.16666666666666,374.3333333333333,0.3664292074799644
JDP Oram,death,143,23.833333333333332,89.0,0.26779026217228463
JDP Oram,middle,209,34.833333333333336,89.0,0.3913857677902622
JDP Oram,powerplay,182,30.333333333333332,89.0,0.3408239700374532
JDS Neesham,death,138,23.0,107.66666666666667,0.21362229102167182
JDS Neesham,middle,430,71.66666666666667,107.66666666666667,0.6656346749226006
JDS Neesham,powerplay,78,13.0,107.66666666666667,0.12074303405572755
JE Root,middle,64,10.666666666666666,13.5,0.7901234567901234
JE Root,powerplay,17,2.8333333333333335,13.5,0.20987654320987656
JE Taylor,death,176,29.333333333333332,92.33333333333333,0.3176895306859206
JE Taylor,middle,60,10.0,92.33333333333333,0.10830324909747292
JE Taylor,powerplay,318,53.0,92.33333333333333,0.5740072202166066
JEC Franklin,death,63,10.5,56.83333333333333,0.18475073313782991
JEC Franklin,middle,205,34.166666666666664,56.83333333333333,0.6011730205278593
JEC Franklin,powerplay,73,12.166666666666666,56.83333333333333,0.21407624633431085
JG Bethell,death,13,2.1666666666666665,12.0,0.18055555555555555
JG Bethell,middle,59,9.833333333333334,12.0,0.8194444444444445
JH Kallis,death,332,55.333333333333336,290.83333333333337,0.19025787965616045
JH Kallis,middle,903,150.5,290.83333333333337,0.5174785100286532
JH Kallis,powerplay,510,85.0,290.83333333333337,0.2922636103151862
JJ Bumrah,death,1775,295.8333333333333,759.1666666666666,0.38968166849615804
JJ Bumrah,middle,1052,175.33333333333334,759.1666666666666,0.23095499451152582
JJ Bumrah,powerplay,1728,288.0,759.1666666666666,0.37936333699231617
JJ van der Wath,death,77,12.833333333333334,28.166666666666668,0.4556213017751479
JJ van der Wath,middle,48,8.0,28.166666666666668,0.28402366863905326
JJ van der Wath,powerplay,44,7.333333333333333,28.166666666666668,0.2603550295857988
JL Denly,death,11,1.8333333333333333,8.166666666666666,0.22448979591836735
JL Denly,middle,35,5.833333333333333,8.166666666666666,0.7142857142857143
JL Denly,powerplay,3,0.5,8.166666666666666,0.06122448979591837
JL Pattinson,death,43,7.166666666666667,44.83333333333333,0.15985130111524165
JL Pattinson,middle,107,17.833333333333332,44.83333333333333,0.39776951672862454
JL Pattinson,powerplay,119,19.833333333333332,44.83333333333333,0.44237918215613387
JM Kemp,death,1,0.16666666666666666,5.333333333333334,0.031249999999999997
JM Kemp,middle,31,5.166666666666667,5.333333333333334,0.96875
JO Holder,death,707,117.83333333333333,415.66666666666663,0.28348035284683243
JO Holder,middle,939,156.5,415.66666666666663,0.3765036086607859
JO Holder,powerplay,848,141.33333333333334,415.66666666666663,0.34001603849238177
