venue,phase,four_modifier,six_modifier,wicket_modifier
Feroz Shah Kotla,death,1.0420994240828798,0.8716957364686905,0.9898552374787603
Feroz Shah Kotla,middle,1.0551139746053078,0.8973051204248901,0.9047445052638542
Feroz Shah Kotla,powerplay,1.099725593563589,0.7280021014781269,0.9562809834633866
Gaddafi Stadium,death,1.2817082041269476,0.9381274494014074,0.8333333333333334
Gaddafi Stadium,middle,0.8987257141120556,0.8064516129032271,0.8064516129032246
Gaddafi Stadium,powerplay,1.0475720565142068,0.925925925925926,1.1621343762850949
"Grand Prairie Stadium, Dallas",death,0.9259259259259259,0.925925925925926,1.156941411774452
"Grand Prairie Stadium, Dallas",middle,0.7903687131198218,0.8561138696535225,1.045185369600789
"Grand Prairie Stadium, Dallas",powerplay,1.115306770484823,0.7999999999999985,1.004084101110323
Green Park,death,1.1961785439621544,0.6746128017516426,0.9480929739655907
Green Park,middle,1.0992636255321977,0.8211797950112878,0.9940048913377186
Green Park,powerplay,1.1765082454905442,1.0019032384434563,1.1491849751948953
Greenfield International Stadium,death,1.1544147653269927,0.8875928216761528,0.7976938740129114
Greenfield International Stadium,middle,0.7668777695096316,1.8,0.9499623133045004
Greenfield International Stadium,powerplay,0.7843275992158143,1.087987908528175,1.3337021978522952
"Greenfield International Stadium, Thiruvananthapuram",death,0.9827629830289516,1.463277294540911,1.0325101778251349
"Greenfield International Stadium, Thiruvananthapuram",middle,0.9101898161593556,1.8,0.8442498385176871
