player,ipl_matches,t20i_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible
JR Philippe,5.0,17.0,True,False,True
JRMVB Sanjaya,0.0,8.0,False,False,False
JS Foster,0.0,4.0,False,False,False
JS Patel,0.0,11.0,False,False,False
JT Ball,0.0,2.0,False,False,False
JT Smuts,0.0,13.0,False,False,False
JW Dernbach,0.0,33.0,False,False,False
JW Hastings,3.0,9.0,True,False,True
JW Wilson,0.0,1.0,False,False,False
JWM Dalrymple,0.0,3.0,False,False,False
Jahandad Khan,0.0,8.0,False,False,False
Jahurul Islam,0.0,2.0,False,False,False
Jaker Ali,0.0,32.0,False,False,False
Jalaj S Saxena,1.0,0.0,False,False,False
Jaskaran Singh,8.0,0.0,False,False,False
Joginder Sharma,16.0,4.0,True,False,True
Jubair Hossain,0.0,1.0,False,False,False
Junaid Khan,0.0,8.0,False,False,False
Junaid Siddique,0.0,5.0,False,False,False
K Goel,22.0,0.0,False,False,False
K Gowtham,36.0,0.0,False,False,False
K Kartikeya,16.0,0.0,False,False,False
K Khejroliya,9.0,0.0,False,False,False
K Mishara,0.0,21.0,False,False,False
K Pierre,0.0,12.0,False,False,False
K Rabada,101.0,70.0,True,False,True
K Santokie,2.0,12.0,True,False,True
K Sinclair,0.0,6.0,False,False,False
K Upadhyay,3.0,0.0,False,False,False
K Weeraratne,0.0,4.0,False,False,False
K Yadav,3.0,0.0,False,False,False
KA Jamieson,15.0,28.0,True,False,True
KA Maharaj,2.0,48.0,True,False,True
KA Pollard,189.0,98.0,True,False,True
KAJ Roach,2.0,11.0,True,False,True
KB Arun Karthik,17.0,0.0,False,False,False
KC Cariappa,11.0,0.0,False,False,False
KC Sangakkara,71.0,54.0,True,False,True
KD Clarke,0.0,4.0,False,False,False
KD Karthik,257.0,55.0,True,False,True
KD Mills,0.0,41.0,False,False,False
