player,balls_faced_events,legal_balls_bowled,t20i_matches,ipl_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible,can_bowl,role
RT Ponting,300.0,0.0,17.0,10.0,True,False,True,False,Batter
MW Short,299.0,87.0,24.0,9.0,True,False,True,True,All-rounder
Kuldeep Yadav,297.0,2838.0,49.0,111.0,True,False,True,True,All-rounder
P Kumar,297.0,2389.0,9.0,119.0,True,False,True,True,All-rounder
CR Brathwaite,292.0,710.0,36.0,16.0,True,False,True,True,All-rounder
JC Archer,282.0,2114.0,38.0,68.0,True,False,True,True,All-rounder
P Negi,281.0,700.0,0.0,50.0,False,True,True,True,All-rounder
KV Sharma,277.0,1486.0,1.0,90.0,True,False,True,True,All-rounder
HV Patel,271.0,2756.0,25.0,123.0,True,False,True,True,All-rounder
R Bhatia,271.0,1474.0,0.0,95.0,False,True,True,True,All-rounder
SN Thakur,270.0,2467.0,23.0,114.0,True,False,True,True,All-rounder
CA Ingram,270.0,0.0,9.0,15.0,True,False,True,False,Batter
RR Sarwan,260.0,7.0,18.0,4.0,True,False,True,False,Batter
T Banton,256.0,0.0,32.0,2.0,True,False,True,False,Batter
BJ Haddin,251.0,0.0,34.0,1.0,True,False,True,False,Batter
DL Vettori,248.0,1279.0,33.0,34.0,True,False,True,True,All-rounder
MN van Wyk,248.0,0.0,7.0,5.0,True,False,True,False,Batter
NL McCullum,245.0,719.0,61.0,2.0,True,False,True,True,All-rounder
R Vinay Kumar,241.0,2001.0,9.0,104.0,True,False,True,True,All-rounder
S Chanderpaul,241.0,0.0,22.0,3.0,True,False,True,False,Batter
WD Parnell,232.0,1381.0,54.0,33.0,True,False,True,True,All-rounder
Younis Khan,230.0,0.0,20.0,1.0,True,False,True,False,Batter
TG Southee,227.0,2853.0,118.0,54.0,True,False,True,True,All-rounder
UT Yadav,222.0,3054.0,9.0,148.0,True,False,True,True,All-rounder
L Ronchi,221.0,0.0,31.0,5.0,True,False,True,False,Batter
JR Philippe,218.0,0.0,17.0,5.0,True,False,True,False,Batter
MG Johnson,216.0,1604.0,30.0,54.0,True,False,True,True,All-rounder
D Ferreira,216.0,48.0,15.0,18.0,True,False,True,False,Batter
SL Malinga,215.0,3867.0,80.0,122.0,True,False,True,True,All-rounder
AC Voges,210.0,54.0,7.0,9.0,True,False,True,False,Batter
FA Allen,204.0,547.0,38.0,5.0,True,False,True,True,All-rounder
C Connolly,204.0,38.0,10.0,14.0,True,False,True,False,Batter
LA Pomersbach,203.0,0.0,1.0,17.0,True,False,True,False,Batter
UT Khawaja,203.0,0.0,9.0,6.0,True,False,True,False,Batter
AJ Hosein,200.0,1368.0,88.0,8.0,True,False,True,True,All-rounder
MG Bracewell,199.0,316.0,43.0,5.0,True,False,True,True,All-rounder
SP Fleming,198.0,0.0,5.0,10.0,True,False,True,False,Batter
MA Starc,190.0,2053.0,63.0,58.0,True,False,True,True,All-rounder
J Fraser-McGurk,187.0,0.0,5.0,15.0,True,False,True,False,Batter
AU Rashid,184.0,2063.0,135.0,3.0,True,False,True,True,All-rounder
Harpreet Brar,183.0,811.0,0.0,51.0,False,True,True,True,All-rounder
Mohammad Ashraful,182.0,95.0,19.0,1.0,True,False,True,True,All-rounder
R Dhawan,180.0,622.0,1.0,39.0,True,False,True,True,All-rounder
AT Carey,176.0,0.0,41.0,3.0,True,False,True,False,Batter
DJ Willey,171.0,706.0,42.0,11.0,True,False,True,True,All-rounder
PVD Chameera,170.0,1387.0,71.0,21.0,True,False,True,True,All-rounder
JD Unadkat,168.0,2246.0,10.0,116.0,True,False,True,True,All-rounder
D Wiese,168.0,581.0,19.0,18.0,True,False,True,True,All-rounder
SM Katich,168.0,0.0,3.0,11.0,True,False,True,False,Batter
RE van der Merwe,167.0,606.0,11.0,21.0,True,False,True,True,All-rounder
SK Warne,163.0,1048.0,0.0,55.0,False,True,True,True,All-rounder
Sohail Tanvir,162.0,987.0,54.0,11.0,True,False,True,True,All-rounder
Ramandeep Singh,158.0,69.0,2.0,38.0,True,False,True,True,All-rounder
S Gopal,157.0,983.0,0.0,52.0,False,True,True,True,All-rounder
DW Steyn,156.0,2598.0,44.0,95.0,True,False,True,True,All-rounder
AD Mascarenhas,154.0,440.0,14.0,13.0,True,False,True,True,All-rounder
IS Sodhi,150.0,1674.0,133.0,8.0,True,False,True,True,All-rounder
BCJ Cutting,150.0,328.0,4.0,21.0,True,False,True,True,All-rounder
D Pretorius,148.0,475.0,30.0,7.0,True,False,True,True,All-rounder
GF Linde,148.0,329.0,35.0,3.0,True,False,True,True,All-rounder
Umar Gul,146.0,970.0,55.0,6.0,True,False,True,True,All-rounder
CR Woakes,145.0,812.0,32.0,21.0,True,False,True,True,All-rounder
R McLaren,145.0,457.0,12.0,18.0,True,False,True,True,All-rounder
KMA Paul,143.0,394.0,20.0,8.0,True,False,True,True,All-rounder
TK Curran,142.0,625.0,30.0,13.0,True,False,True,True,All-rounder
Mohammed Siraj,141.0,2666.0,15.0,125.0,True,False,True,True,All-rounder
OF Smith,141.0,336.0,26.0,6.0,True,False,True,True,All-rounder
Z Khan,139.0,2213.0,15.0,99.0,True,False,True,True,All-rounder
B Lee,139.0,1110.0,25.0,38.0,True,False,True,True,All-rounder
AB Agarkar,139.0,747.0,3.0,42.0,True,False,True,True,All-rounder
I Udana,139.0,608.0,34.0,10.0,True,False,True,True,All-rounder
JM Kemp,139.0,32.0,7.0,5.0,True,False,True,False,Batter
MF Maharoof,135.0,468.0,7.0,20.0,True,False,True,True,All-rounder
MM Sharma,133.0,2309.0,8.0,120.0,True,False,True,True,All-rounder
Mashrafe Mortaza,132.0,588.0,43.0,1.0,True,False,True,True,All-rounder
M Theekshana,131.0,1658.0,73.0,38.0,True,False,True,True,All-rounder
AS Joseph,131.0,1123.0,40.0,22.0,True,False,True,True,All-rounder
BMAJ Mendis,131.0,144.0,22.0,3.0,True,False,True,True,All-rounder
T Taibu,131.0,24.0,13.0,3.0,True,False,True,False,Batter
NM Coulter-Nile,130.0,1232.0,27.0,39.0,True,False,True,True,All-rounder
KMDN Kulasekara,130.0,823.0,54.0,5.0,True,False,True,True,All-rounder
SM Pollock,129.0,343.0,11.0,13.0,True,False,True,True,All-rounder
BJ Rohrer,129.0,6.0,1.0,8.0,True,False,True,False,Batter
RE Levi,129.0,0.0,13.0,6.0,True,False,True,False,Batter
J Overton,128.0,375.0,22.0,13.0,True,False,True,True,All-rounder
AJ Tye,126.0,1080.0,31.0,30.0,True,False,True,True,All-rounder
RJ Peterson,126.0,313.0,20.0,5.0,True,False,True,True,All-rounder
TA Boult,125.0,3402.0,54.0,124.0,True,False,True,True,All-rounder
LPC Silva,123.0,2.0,15.0,3.0,True,False,True,False,Batter
DL Chahar,122.0,2292.0,24.0,103.0,True,False,True,True,All-rounder
Mustafizur Rahman,119.0,2519.0,100.0,60.0,True,False,True,True,All-rounder
RD Chahar,119.0,1680.0,5.0,80.0,True,False,True,True,All-rounder
KA Jamieson,115.0,628.0,28.0,15.0,True,False,True,True,All-rounder
M Klinger,113.0,0.0,3.0,4.0,True,False,True,False,Batter
LG Pretorius,111.0,0.0,12.0,2.0,True,False,True,False,Batter
KA Maharaj,109.0,767.0,48.0,2.0,True,False,True,True,All-rounder
G Coetzee,109.0,475.0,17.0,14.0,True,False,True,True,All-rounder
Mohammed Shami,108.0,3039.0,21.0,132.0,True,False,True,True,All-rounder
Ravi Bishnoi,104.0,2196.0,39.0,86.0,True,False,True,True,All-rounder
CJ Ferguson,103.0,0.0,3.0,9.0,True,False,True,False,Batter
C Bosch,101.0,385.0,20.0,9.0,True,False,True,True,All-rounder
DS Kulkarni,100.0,1658.0,2.0,92.0,True,False,True,True,All-rounder
JJ Bumrah,99.0,4555.0,85.0,158.0,True,False,True,True,Bowler
Arshdeep Singh,98.0,2898.0,71.0,97.0,True,False,True,True,Bowler
RJ Harris,98.0,783.0,3.0,37.0,True,False,True,True,Bowler
M Morkel,97.0,2080.0,40.0,70.0,True,False,True,True,Bowler
YS Chahal,95.0,5026.0,79.0,189.0,True,False,True,True,Bowler
M Kartik,95.0,1051.0,1.0,56.0,True,False,True,True,Bowler
A Flintoff,93.0,177.0,7.0,3.0,True,False,True,True,Bowler
WPUJC Vaas,91.0,322.0,5.0,13.0,True,False,True,True,Bowler
DR Sams,90.0,502.0,10.0,16.0,True,False,True,True,Bowler
AJ Turner,89.0,16.0,19.0,6.0,True,False,True,False,Batter
A Nortje,87.0,1702.0,41.0,49.0,True,False,True,True,Bowler
A Nehra,84.0,2061.0,26.0,88.0,True,False,True,True,Bowler
LH Ferguson,84.0,1638.0,46.0,52.0,True,False,True,True,Bowler
J Little,84.0,595.0,34.0,11.0,True,False,True,True,Bowler
S Nadeem,83.0,1323.0,0.0,72.0,False,True,True,True,Bowler
Harshit Rana,83.0,726.0,8.0,33.0,True,False,True,True,Bowler
AF Milne,80.0,783.0,53.0,11.0,True,False,True,True,Bowler
PWA Mulder,80.0,52.0,15.0,1.0,True,False,True,False,Batter
BR Dunk,80.0,0.0,5.0,3.0,True,False,True,False,Batter
Sandeep Sharma,77.0,2962.0,2.0,142.0,True,False,True,True,Bowler
A Zampa,77.0,1942.0,105.0,22.0,True,False,True,True,Bowler
NT Ellis,77.0,815.0,32.0,17.0,True,False,True,True,Bowler
RP Singh,76.0,1721.0,9.0,82.0,True,False,True,True,Bowler
MJ McClenaghan,76.0,1640.0,27.0,56.0,True,False,True,True,Bowler
A Dananjaya,74.0,533.0,32.0,1.0,True,False,True,True,Bowler
TR Birt,74.0,0.0,4.0,5.0,True,False,True,False,Batter
JL Denly,73.0,49.0,13.0,1.0,True,False,True,False,Batter
Shivam Mavi,72.0,699.0,6.0,32.0,True,False,True,True,Bowler
SMSM Senanayake,71.0,534.0,23.0,8.0,True,False,True,True,Bowler
S Badree,68.0,799.0,45.0,12.0,True,False,True,True,Bowler
MJ Owen,67.0,20.0,15.0,1.0,True,False,True,False,Batter
I Sharma,66.0,2420.0,14.0,117.0,True,False,True,True,Bowler
R Sharma,66.0,898.0,2.0,44.0,True,False,True,True,Bowler
JE Taylor,66.0,554.0,27.0,5.0,True,False,True,True,Bowler
DAJ Bracewell,65.0,201.0,20.0,1.0,True,False,True,True,Bowler
CV Varun,64.0,2537.0,40.0,94.0,True,False,True,True,Bowler
JA Richardson,64.0,319.0,18.0,4.0,True,False,True,True,Bowler
AB Dinda,62.0,1432.0,9.0,78.0,True,False,True,True,Bowler
L Ngidi,62.0,1376.0,61.0,28.0,True,False,True,True,Bowler
SA Abbott,62.0,396.0,26.0,3.0,True,False,True,True,Bowler
VR Aaron,61.0,912.0,0.0,52.0,False,True,True,True,Bowler
R Rampaul,57.0,591.0,27.0,12.0,True,False,True,True,Bowler
AB Barath,57.0,0.0,2.0,3.0,True,False,True,False,Batter
SK Trivedi,56.0,1301.0,0.0,76.0,False,True,True,True,Bowler
KW Richardson,56.0,856.0,35.0,15.0,True,False,True,True,Bowler
OC McCoy,54.0,676.0,39.0,8.0,True,False,True,True,Bowler
BJ Dwarshuis,54.0,249.0,15.0,1.0,True,False,True,True,Bowler
L Balaji,50.0,1370.0,4.0,73.0,True,False,True,True,Bowler
MP Breetzke,50.0,0.0,13.0,1.0,True,False,True,False,Batter
Imran Tahir,49.0,1853.0,33.0,59.0,True,False,True,True,Bowler
S Sreesanth,48.0,936.0,9.0,44.0,True,False,True,True,Bowler
